Attack_fleet = 28
Defend_fleet = 23
Attacker, Defender, attack damage, defender's health
Defender, Attacker, defend damage, attacker's health
ObjectId('527806966f94c119c082b771') , ObjectId('527806956f94c119c082b62b') , 986, -895
ObjectId('527806966f94c119c082b77d') , ObjectId('527806956f94c119c082b65b') , 1019, -424
ObjectId('527806966f94c119c082b789') , ObjectId('527806956f94c119c082b68b') , 418, -290
ObjectId('527806966f94c119c082b7a1') , ObjectId('527806956f94c119c082b697') , 1131, -364
ObjectId('527806966f94c119c082b7ad') , ObjectId('527806966f94c119c082b6d3') , 1509, -1109
ObjectId('527806966f94c119c082b7b9') , ObjectId('527806966f94c119c082b733') , 642, -205
ObjectId('527806966f94c119c082b7c5') , ObjectId('527806966f94c119c082b73f') , 727, 773
ObjectId('527806966f94c119c082b7f5') , ObjectId('527806966f94c119c082b73f') , 513, 987
ObjectId('527806966f94c119c082b825') , ObjectId('527806966f94c119c082b733') , 1272, -835
ObjectId('527806966f94c119c082b831') , ObjectId('527806966f94c119c082b73f') , 754, 746
ObjectId('527806966f94c119c082b849') , ObjectId('527806966f94c119c082b73f') , 429, 1071
Attacker Kill Count:  7
Defender Kill Count:  7

Attack_fleet = 21
Defend_fleet = 22
Attacker, Defender, attack damage, defender's health
ObjectId('5278069a6f94c119c082b8c3') , ObjectId('5278069a6f94c119c082b9e5') , 943, 557
ObjectId('5278069a6f94c119c082b8cf') , ObjectId('5278069a6f94c119c082b9f1') , 801, 699
ObjectId('5278069a6f94c119c082b8db') , ObjectId('5278069a6f94c119c082b9fd') , 797, 703
ObjectId('5278069a6f94c119c082b8e7') , ObjectId('5278069a6f94c119c082ba09') , 466, 1034
ObjectId('5278069a6f94c119c082b8f3') , ObjectId('5278069a6f94c119c082ba15') , 1262, 238
ObjectId('5278069a6f94c119c082b8ff') , ObjectId('5278069a6f94c119c082ba21') , 476, 1024
ObjectId('5278069a6f94c119c082b90b') , ObjectId('5278069a6f94c119c082ba2d') , 798, 702
ObjectId('5278069a6f94c119c082b917') , ObjectId('5278069a6f94c119c082ba39') , 511, 989
ObjectId('5278069a6f94c119c082b923') , ObjectId('5278069a6f94c119c082ba45') , 494, 1006
ObjectId('5278069a6f94c119c082b92f') , ObjectId('5278069a6f94c119c082ba51') , 870, 630
ObjectId('5278069a6f94c119c082b93b') , ObjectId('5278069a6f94c119c082ba5d') , 621, 879
ObjectId('5278069a6f94c119c082b947') , ObjectId('5278069a6f94c119c082ba69') , 446, 1054
ObjectId('5278069a6f94c119c082b953') , ObjectId('5278069a6f94c119c082ba75') , 673, 827
ObjectId('5278069a6f94c119c082b95f') , ObjectId('5278069a6f94c119c082ba81') , 545, 955
ObjectId('5278069a6f94c119c082b96b') , ObjectId('5278069a6f94c119c082ba8d') , 481, 1019
ObjectId('5278069a6f94c119c082b977') , ObjectId('5278069a6f94c119c082ba99') , 808, 692
ObjectId('5278069a6f94c119c082b983') , ObjectId('5278069a6f94c119c082baa5') , 1802, -302
ObjectId('5278069a6f94c119c082b98f') , ObjectId('5278069b6f94c119c082bab1') , 315, 1185
ObjectId('5278069a6f94c119c082b99b') , ObjectId('5278069b6f94c119c082babd') , 1770, -270
ObjectId('5278069a6f94c119c082b9a7') , ObjectId('5278069b6f94c119c082bac9') , 1313, 187
ObjectId('5278069a6f94c119c082b9b3') , ObjectId('5278069b6f94c119c082bad5') , 448, 1052
Defender, Attacker, defend damage, attacker's health
ObjectId('5278069a6f94c119c082b9e5') , ObjectId('5278069a6f94c119c082b8c3') , 793, 707
ObjectId('5278069a6f94c119c082b9f1') , ObjectId('5278069a6f94c119c082b8cf') , 1229, 271
ObjectId('5278069a6f94c119c082b9fd') , ObjectId('5278069a6f94c119c082b8db') , 417, 1083
ObjectId('5278069a6f94c119c082ba09') , ObjectId('5278069a6f94c119c082b8e7') , 323, 1177
ObjectId('5278069a6f94c119c082ba15') , ObjectId('5278069a6f94c119c082b8f3') , 2160, -660
ObjectId('5278069a6f94c119c082ba21') , ObjectId('5278069a6f94c119c082b8ff') , 948, 552
ObjectId('5278069a6f94c119c082ba2d') , ObjectId('5278069a6f94c119c082b90b') , 303, 1197
ObjectId('5278069a6f94c119c082ba39') , ObjectId('5278069a6f94c119c082b917') , 1111, 389
ObjectId('5278069a6f94c119c082ba45') , ObjectId('5278069a6f94c119c082b923') , 2097, -597
ObjectId('5278069a6f94c119c082ba51') , ObjectId('5278069a6f94c119c082b92f') , 623, 877
ObjectId('5278069a6f94c119c082ba5d') , ObjectId('5278069a6f94c119c082b93b') , 532, 968
ObjectId('5278069a6f94c119c082ba69') , ObjectId('5278069a6f94c119c082b947') , 419, 1081
ObjectId('5278069a6f94c119c082ba75') , ObjectId('5278069a6f94c119c082b953') , 948, 552
ObjectId('5278069a6f94c119c082ba81') , ObjectId('5278069a6f94c119c082b95f') , 1913, -413
ObjectId('5278069a6f94c119c082ba8d') , ObjectId('5278069a6f94c119c082b96b') , 1555, -55
ObjectId('5278069a6f94c119c082ba99') , ObjectId('5278069a6f94c119c082b977') , 1532, -32
ObjectId('5278069a6f94c119c082baa5') , ObjectId('5278069a6f94c119c082b983') , 733, 767
ObjectId('5278069b6f94c119c082bab1') , ObjectId('5278069a6f94c119c082b98f') , 807, 693
ObjectId('5278069b6f94c119c082babd') , ObjectId('5278069a6f94c119c082b99b') , 557, 943
ObjectId('5278069b6f94c119c082bac9') , ObjectId('5278069a6f94c119c082b9a7') , 766, 734
ObjectId('5278069b6f94c119c082bad5') , ObjectId('5278069a6f94c119c082b9b3') , 946, 554
ObjectId('5278069b6f94c119c082bae1') , ObjectId('5278069a6f94c119c082b92f') , 445, 1055
Attacker Kill Count:  2
Defender Kill Count:  5

Attack_fleet = 16
Defend_fleet = 20
Attacker, Defender, attack damage, defender's health
ObjectId('5278069a6f94c119c082b8c3') , ObjectId('5278069a6f94c119c082b9e5') , 760, -203
ObjectId('5278069a6f94c119c082b8cf') , ObjectId('5278069a6f94c119c082b9f1') , 1427, -728
ObjectId('5278069a6f94c119c082b8db') , ObjectId('5278069a6f94c119c082b9fd') , 1411, -708
ObjectId('5278069a6f94c119c082b8e7') , ObjectId('5278069a6f94c119c082ba09') , 439, 595
ObjectId('5278069a6f94c119c082b8ff') , ObjectId('5278069a6f94c119c082ba15') , 534, -296
ObjectId('5278069a6f94c119c082b90b') , ObjectId('5278069a6f94c119c082ba21') , 849, 175
ObjectId('5278069a6f94c119c082b917') , ObjectId('5278069a6f94c119c082ba2d') , 612, 90
ObjectId('5278069a6f94c119c082b92f') , ObjectId('5278069a6f94c119c082ba39') , 538, 451
ObjectId('5278069a6f94c119c082b93b') , ObjectId('5278069a6f94c119c082ba45') , 554, 452
ObjectId('5278069a6f94c119c082b947') , ObjectId('5278069a6f94c119c082ba51') , 365, 265
ObjectId('5278069a6f94c119c082b953') , ObjectId('5278069a6f94c119c082ba5d') , 404, 475
ObjectId('5278069a6f94c119c082b983') , ObjectId('5278069a6f94c119c082ba69') , 2374, -1320
ObjectId('5278069a6f94c119c082b98f') , ObjectId('5278069a6f94c119c082ba75') , 487, 340
ObjectId('5278069a6f94c119c082b99b') , ObjectId('5278069a6f94c119c082ba81') , 2208, -1253
ObjectId('5278069a6f94c119c082b9a7') , ObjectId('5278069a6f94c119c082ba8d') , 752, 267
ObjectId('5278069a6f94c119c082b9b3') , ObjectId('5278069a6f94c119c082ba99') , 1067, -375
Defender, Attacker, defend damage, attacker's health
ObjectId('5278069a6f94c119c082b9e5') , ObjectId('5278069a6f94c119c082b8c3') , 987, -280
ObjectId('5278069a6f94c119c082b9f1') , ObjectId('5278069a6f94c119c082b8cf') , 698, -427
ObjectId('5278069a6f94c119c082b9fd') , ObjectId('5278069a6f94c119c082b8db') , 348, 735
ObjectId('5278069a6f94c119c082ba09') , ObjectId('5278069a6f94c119c082b8e7') , 953, 224
ObjectId('5278069a6f94c119c082ba15') , ObjectId('5278069a6f94c119c082b8ff') , 945, -393
ObjectId('5278069a6f94c119c082ba21') , ObjectId('5278069a6f94c119c082b90b') , 1174, 23
ObjectId('5278069a6f94c119c082ba2d') , ObjectId('5278069a6f94c119c082b917') , 665, -276
ObjectId('5278069a6f94c119c082ba39') , ObjectId('5278069a6f94c119c082b92f') , 640, 415
ObjectId('5278069a6f94c119c082ba45') , ObjectId('5278069a6f94c119c082b93b') , 1627, -659
ObjectId('5278069a6f94c119c082ba51') , ObjectId('5278069a6f94c119c082b947') , 711, 370
ObjectId('5278069a6f94c119c082ba5d') , ObjectId('5278069a6f94c119c082b953') , 466, 86
ObjectId('5278069a6f94c119c082ba69') , ObjectId('5278069a6f94c119c082b983') , 514, 253
ObjectId('5278069a6f94c119c082ba75') , ObjectId('5278069a6f94c119c082b98f') , 1087, -394
ObjectId('5278069a6f94c119c082ba81') , ObjectId('5278069a6f94c119c082b99b') , 1502, -559
ObjectId('5278069a6f94c119c082ba8d') , ObjectId('5278069a6f94c119c082b9a7') , 1571, -837
ObjectId('5278069a6f94c119c082ba99') , ObjectId('5278069a6f94c119c082b9b3') , 933, -379
ObjectId('5278069b6f94c119c082bab1') , ObjectId('5278069a6f94c119c082b8e7') , 1224, -47
ObjectId('5278069b6f94c119c082bac9') , ObjectId('5278069a6f94c119c082b9a7') , 1082, -348
ObjectId('5278069b6f94c119c082bad5') , ObjectId('5278069a6f94c119c082b9b3') , 1339, -785
ObjectId('5278069b6f94c119c082bae1') , ObjectId('5278069a6f94c119c082b8cf') , 459, -188
Attacker Kill Count:  7
Defender Kill Count:  13

Attack_fleet = 6
Defend_fleet = 13
Attacker, Defender, attack damage, defender's health
ObjectId('5278069a6f94c119c082b8db') , ObjectId('5278069a6f94c119c082ba09') , 916, -321
ObjectId('5278069a6f94c119c082b90b') , ObjectId('5278069a6f94c119c082ba21') , 682, -507
ObjectId('5278069a6f94c119c082b92f') , ObjectId('5278069a6f94c119c082ba2d') , 829, -739
ObjectId('5278069a6f94c119c082b947') , ObjectId('5278069a6f94c119c082ba39') , 989, -538
ObjectId('5278069a6f94c119c082b953') , ObjectId('5278069a6f94c119c082ba45') , 605, -153
ObjectId('5278069a6f94c119c082b983') , ObjectId('5278069a6f94c119c082ba51') , 2365, -2100
Defender, Attacker, defend damage, attacker's health
ObjectId('5278069a6f94c119c082ba09') , ObjectId('5278069a6f94c119c082b8db') , 834, -99
ObjectId('5278069a6f94c119c082ba21') , ObjectId('5278069a6f94c119c082b90b') , 1139, -1116
ObjectId('5278069a6f94c119c082ba2d') , ObjectId('5278069a6f94c119c082b92f') , 639, -224
ObjectId('5278069a6f94c119c082ba39') , ObjectId('5278069a6f94c119c082b947') , 646, -276
ObjectId('5278069a6f94c119c082ba45') , ObjectId('5278069a6f94c119c082b953') , 1665, -1579
ObjectId('5278069a6f94c119c082ba51') , ObjectId('5278069a6f94c119c082b983') , 431, -178
ObjectId('5278069a6f94c119c082ba5d') , ObjectId('5278069a6f94c119c082b92f') , 353, 62
ObjectId('5278069a6f94c119c082ba75') , ObjectId('5278069a6f94c119c082b947') , 1328, -958
ObjectId('5278069a6f94c119c082ba8d') , ObjectId('5278069a6f94c119c082b953') , 496, -410
ObjectId('5278069b6f94c119c082bab1') , ObjectId('5278069a6f94c119c082b92f') , 1548, -1133
ObjectId('5278069b6f94c119c082bac9') , ObjectId('5278069a6f94c119c082b983') , 414, -161
ObjectId('5278069b6f94c119c082bad5') , ObjectId('5278069a6f94c119c082b92f') , 1159, -744
ObjectId('5278069b6f94c119c082bae1') , ObjectId('5278069a6f94c119c082b90b') , 396, -373
Attacker Kill Count:  6
Defender Kill Count:  12

Attack_fleet = 20
Defend_fleet = 24
Attacker, Defender, attack damage, defender's health
ObjectId('5278069f6f94c119c082bb13') , ObjectId('5278069f6f94c119c082bc29') , 1228, 272
ObjectId('5278069f6f94c119c082bb1f') , ObjectId('5278069f6f94c119c082bc35') , 412, 1088
ObjectId('5278069f6f94c119c082bb2b') , ObjectId('5278069f6f94c119c082bc41') , 1117, 383
ObjectId('5278069f6f94c119c082bb37') , ObjectId('5278069f6f94c119c082bc4d') , 894, 606
ObjectId('5278069f6f94c119c082bb43') , ObjectId('5278069f6f94c119c082bc59') , 697, 803
ObjectId('5278069f6f94c119c082bb4f') , ObjectId('5278069f6f94c119c082bc65') , 556, 944
ObjectId('5278069f6f94c119c082bb5b') , ObjectId('5278069f6f94c119c082bc71') , 426, 1074
ObjectId('5278069f6f94c119c082bb67') , ObjectId('5278069f6f94c119c082bc7d') , 1761, -261
ObjectId('5278069f6f94c119c082bb73') , ObjectId('5278069f6f94c119c082bc89') , 1349, 151
ObjectId('5278069f6f94c119c082bb7f') , ObjectId('5278069f6f94c119c082bc95') , 1021, 479
ObjectId('5278069f6f94c119c082bb8b') , ObjectId('5278069f6f94c119c082bca1') , 1824, -324
ObjectId('5278069f6f94c119c082bb97') , ObjectId('5278069f6f94c119c082bcad') , 404, 1096
ObjectId('5278069f6f94c119c082bba3') , ObjectId('5278069f6f94c119c082bcb9') , 652, 848
ObjectId('5278069f6f94c119c082bbaf') , ObjectId('5278069f6f94c119c082bcc5') , 2186, -686
ObjectId('5278069f6f94c119c082bbbb') , ObjectId('5278069f6f94c119c082bcd1') , 657, 843
ObjectId('5278069f6f94c119c082bbc7') , ObjectId('5278069f6f94c119c082bcdd') , 647, 853
ObjectId('5278069f6f94c119c082bbd3') , ObjectId('5278069f6f94c119c082bce9') , 1596, -96
ObjectId('5278069f6f94c119c082bbdf') , ObjectId('5278069f6f94c119c082bcf5') , 448, 1052
ObjectId('5278069f6f94c119c082bbeb') , ObjectId('5278069f6f94c119c082bd01') , 1381, 119
ObjectId('5278069f6f94c119c082bbf7') , ObjectId('5278069f6f94c119c082bd0d') , 537, 963
Defender, Attacker, defend damage, attacker's health
ObjectId('5278069f6f94c119c082bc29') , ObjectId('5278069f6f94c119c082bb13') , 971, 529
ObjectId('5278069f6f94c119c082bc35') , ObjectId('5278069f6f94c119c082bb1f') , 1234, 266
ObjectId('5278069f6f94c119c082bc41') , ObjectId('5278069f6f94c119c082bb2b') , 421, 1079
ObjectId('5278069f6f94c119c082bc4d') , ObjectId('5278069f6f94c119c082bb37') , 395, 1105
ObjectId('5278069f6f94c119c082bc59') , ObjectId('5278069f6f94c119c082bb43') , 485, 1015
ObjectId('5278069f6f94c119c082bc65') , ObjectId('5278069f6f94c119c082bb4f') , 664, 836
ObjectId('5278069f6f94c119c082bc71') , ObjectId('5278069f6f94c119c082bb5b') , 1416, 84
ObjectId('5278069f6f94c119c082bc7d') , ObjectId('5278069f6f94c119c082bb67') , 635, 865
ObjectId('5278069f6f94c119c082bc89') , ObjectId('5278069f6f94c119c082bb73') , 1395, 105
ObjectId('5278069f6f94c119c082bc95') , ObjectId('5278069f6f94c119c082bb7f') , 505, 995
ObjectId('5278069f6f94c119c082bca1') , ObjectId('5278069f6f94c119c082bb8b') , 1124, 376
ObjectId('5278069f6f94c119c082bcad') , ObjectId('5278069f6f94c119c082bb97') , 1590, -90
ObjectId('5278069f6f94c119c082bcb9') , ObjectId('5278069f6f94c119c082bba3') , 765, 735
ObjectId('5278069f6f94c119c082bcc5') , ObjectId('5278069f6f94c119c082bbaf') , 1367, 133
ObjectId('5278069f6f94c119c082bcd1') , ObjectId('5278069f6f94c119c082bbbb') , 927, 573
ObjectId('5278069f6f94c119c082bcdd') , ObjectId('5278069f6f94c119c082bbc7') , 798, 702
ObjectId('5278069f6f94c119c082bce9') , ObjectId('5278069f6f94c119c082bbd3') , 1463, 37
ObjectId('5278069f6f94c119c082bcf5') , ObjectId('5278069f6f94c119c082bbdf') , 424, 1076
ObjectId('5278069f6f94c119c082bd01') , ObjectId('5278069f6f94c119c082bbeb') , 728, 772
ObjectId('5278069f6f94c119c082bd0d') , ObjectId('5278069f6f94c119c082bbf7') , 844, 656
ObjectId('5278069f6f94c119c082bd19') , ObjectId('5278069f6f94c119c082bb8b') , 1407, 93
ObjectId('5278069f6f94c119c082bd25') , ObjectId('5278069f6f94c119c082bbaf') , 1361, 139
ObjectId('5278069f6f94c119c082bd31') , ObjectId('5278069f6f94c119c082bbeb') , 2067, -567
ObjectId('5278069f6f94c119c082bd3d') , ObjectId('5278069f6f94c119c082bbc7') , 1984, -484
Attacker Kill Count:  4
Defender Kill Count:  3

Attack_fleet = 17
Defend_fleet = 20
Attacker, Defender, attack damage, defender's health
ObjectId('5278069f6f94c119c082bb13') , ObjectId('5278069f6f94c119c082bc29') , 682, -410
ObjectId('5278069f6f94c119c082bb1f') , ObjectId('5278069f6f94c119c082bc35') , 419, 669
ObjectId('5278069f6f94c119c082bb2b') , ObjectId('5278069f6f94c119c082bc41') , 790, -407
ObjectId('5278069f6f94c119c082bb37') , ObjectId('5278069f6f94c119c082bc4d') , 761, -155
ObjectId('5278069f6f94c119c082bb43') , ObjectId('5278069f6f94c119c082bc59') , 941, -138
ObjectId('5278069f6f94c119c082bb4f') , ObjectId('5278069f6f94c119c082bc65') , 585, 359
ObjectId('5278069f6f94c119c082bb5b') , ObjectId('5278069f6f94c119c082bc71') , 561, 513
ObjectId('5278069f6f94c119c082bb67') , ObjectId('5278069f6f94c119c082bc89') , 1284, -1133
ObjectId('5278069f6f94c119c082bb73') , ObjectId('5278069f6f94c119c082bc95') , 1152, -673
ObjectId('5278069f6f94c119c082bb7f') , ObjectId('5278069f6f94c119c082bcad') , 1227, -131
ObjectId('5278069f6f94c119c082bb8b') , ObjectId('5278069f6f94c119c082bcb9') , 2062, -1214
ObjectId('5278069f6f94c119c082bba3') , ObjectId('5278069f6f94c119c082bcd1') , 485, 358
ObjectId('5278069f6f94c119c082bbaf') , ObjectId('5278069f6f94c119c082bcdd') , 1137, -284
ObjectId('5278069f6f94c119c082bbbb') , ObjectId('5278069f6f94c119c082bcf5') , 976, 76
ObjectId('5278069f6f94c119c082bbd3') , ObjectId('5278069f6f94c119c082bd01') , 1039, -920
ObjectId('5278069f6f94c119c082bbdf') , ObjectId('5278069f6f94c119c082bd0d') , 343, 620
ObjectId('5278069f6f94c119c082bbf7') , ObjectId('5278069f6f94c119c082bd19') , 562, 938
Defender, Attacker, defend damage, attacker's health
ObjectId('5278069f6f94c119c082bc29') , ObjectId('5278069f6f94c119c082bb13') , 775, -246
ObjectId('5278069f6f94c119c082bc35') , ObjectId('5278069f6f94c119c082bb1f') , 2037, -1771
ObjectId('5278069f6f94c119c082bc41') , ObjectId('5278069f6f94c119c082bb2b') , 1223, -144
ObjectId('5278069f6f94c119c082bc4d') , ObjectId('5278069f6f94c119c082bb37') , 912, 193
ObjectId('5278069f6f94c119c082bc59') , ObjectId('5278069f6f94c119c082bb43') , 485, 530
ObjectId('5278069f6f94c119c082bc65') , ObjectId('5278069f6f94c119c082bb4f') , 765, 71
ObjectId('5278069f6f94c119c082bc71') , ObjectId('5278069f6f94c119c082bb5b') , 1009, -925
ObjectId('5278069f6f94c119c082bc89') , ObjectId('5278069f6f94c119c082bb67') , 1813, -948
ObjectId('5278069f6f94c119c082bc95') , ObjectId('5278069f6f94c119c082bb73') , 608, -503
ObjectId('5278069f6f94c119c082bcad') , ObjectId('5278069f6f94c119c082bb7f') , 2467, -1472
ObjectId('5278069f6f94c119c082bcb9') , ObjectId('5278069f6f94c119c082bb8b') , 950, -857
ObjectId('5278069f6f94c119c082bcd1') , ObjectId('5278069f6f94c119c082bba3') , 533, 202
ObjectId('5278069f6f94c119c082bcdd') , ObjectId('5278069f6f94c119c082bbaf') , 573, -434
ObjectId('5278069f6f94c119c082bcf5') , ObjectId('5278069f6f94c119c082bbbb') , 423, 150
ObjectId('5278069f6f94c119c082bd01') , ObjectId('5278069f6f94c119c082bbd3') , 830, -793
ObjectId('5278069f6f94c119c082bd0d') , ObjectId('5278069f6f94c119c082bbdf') , 609, 467
ObjectId('5278069f6f94c119c082bd19') , ObjectId('5278069f6f94c119c082bbf7') , 1754, -1098
ObjectId('5278069f6f94c119c082bd25') , ObjectId('5278069f6f94c119c082bb67') , 1800, -935
ObjectId('5278069f6f94c119c082bd31') , ObjectId('5278069f6f94c119c082bb2b') , 919, 160
ObjectId('5278069f6f94c119c082bd3d') , ObjectId('5278069f6f94c119c082bbdf') , 1450, -374
Attacker Kill Count:  10
Defender Kill Count:  13

Attack_fleet = 5
Defend_fleet = 10
Attacker, Defender, attack damage, defender's health
ObjectId('5278069f6f94c119c082bb37') , ObjectId('5278069f6f94c119c082bc35') , 1195, -526
ObjectId('5278069f6f94c119c082bb43') , ObjectId('5278069f6f94c119c082bc65') , 375, -16
ObjectId('5278069f6f94c119c082bb4f') , ObjectId('5278069f6f94c119c082bc71') , 555, -42
ObjectId('5278069f6f94c119c082bba3') , ObjectId('5278069f6f94c119c082bcd1') , 466, -108
ObjectId('5278069f6f94c119c082bbbb') , ObjectId('5278069f6f94c119c082bcf5') , 658, -582
Defender, Attacker, defend damage, attacker's health
ObjectId('5278069f6f94c119c082bc35') , ObjectId('5278069f6f94c119c082bb37') , 1465, -1272
ObjectId('5278069f6f94c119c082bc65') , ObjectId('5278069f6f94c119c082bb43') , 606, -76
ObjectId('5278069f6f94c119c082bc71') , ObjectId('5278069f6f94c119c082bb4f') , 1539, -1468
ObjectId('5278069f6f94c119c082bcd1') , ObjectId('5278069f6f94c119c082bba3') , 423, -221
ObjectId('5278069f6f94c119c082bcf5') , ObjectId('5278069f6f94c119c082bbbb') , 1515, -1365
ObjectId('5278069f6f94c119c082bd0d') , ObjectId('5278069f6f94c119c082bbbb') , 240, -90
ObjectId('5278069f6f94c119c082bd19') , ObjectId('5278069f6f94c119c082bb37') , 1080, -887
ObjectId('5278069f6f94c119c082bd25') , ObjectId('5278069f6f94c119c082bb4f') , 1253, -1182
ObjectId('5278069f6f94c119c082bd31') , ObjectId('5278069f6f94c119c082bba3') , 1344, -1142
ObjectId('5278069f6f94c119c082bd3d') , ObjectId('5278069f6f94c119c082bb43') , 2265, -1735
Attacker Kill Count:  5
Defender Kill Count:  10

Attack_fleet = 22
Defend_fleet = 25
Attacker, Defender, attack damage, defender's health
ObjectId('527806a36f94c119c082bd6f') , ObjectId('527806a36f94c119c082be9d') , 1109, 391
ObjectId('527806a36f94c119c082bd7b') , ObjectId('527806a36f94c119c082bea9') , 2025, -525
ObjectId('527806a36f94c119c082bd87') , ObjectId('527806a36f94c119c082beb5') , 1166, 334
ObjectId('527806a36f94c119c082bd93') , ObjectId('527806a36f94c119c082bec1') , 1588, -88
ObjectId('527806a36f94c119c082bd9f') , ObjectId('527806a36f94c119c082becd') , 1297, 203
ObjectId('527806a36f94c119c082bdab') , ObjectId('527806a36f94c119c082bed9') , 819, 681
ObjectId('527806a36f94c119c082bdb7') , ObjectId('527806a36f94c119c082bee5') , 495, 1005
ObjectId('527806a36f94c119c082bdc3') , ObjectId('527806a36f94c119c082bef1') , 732, 768
ObjectId('527806a36f94c119c082bdcf') , ObjectId('527806a36f94c119c082befd') , 374, 1126
ObjectId('527806a36f94c119c082bddb') , ObjectId('527806a36f94c119c082bf09') , 344, 1156
ObjectId('527806a36f94c119c082bde7') , ObjectId('527806a36f94c119c082bf15') , 884, 616
ObjectId('527806a36f94c119c082bdf3') , ObjectId('527806a36f94c119c082bf21') , 2210, -710
ObjectId('527806a36f94c119c082bdff') , ObjectId('527806a36f94c119c082bf2d') , 1632, -132
ObjectId('527806a36f94c119c082be0b') , ObjectId('527806a36f94c119c082bf39') , 362, 1138
ObjectId('527806a36f94c119c082be17') , ObjectId('527806a36f94c119c082bf45') , 510, 990
ObjectId('527806a36f94c119c082be23') , ObjectId('527806a36f94c119c082bf51') , 621, 879
ObjectId('527806a36f94c119c082be2f') , ObjectId('527806a36f94c119c082bf5d') , 375, 1125
ObjectId('527806a36f94c119c082be3b') , ObjectId('527806a36f94c119c082bf69') , 1135, 365
ObjectId('527806a36f94c119c082be47') , ObjectId('527806a36f94c119c082bf75') , 1761, -261
ObjectId('527806a36f94c119c082be53') , ObjectId('527806a36f94c119c082bf81') , 1156, 344
ObjectId('527806a36f94c119c082be5f') , ObjectId('527806a36f94c119c082bf8d') , 462, 1038
ObjectId('527806a36f94c119c082be6b') , ObjectId('527806a36f94c119c082bf99') , 1201, 299
Defender, Attacker, defend damage, attacker's health
ObjectId('527806a36f94c119c082be9d') , ObjectId('527806a36f94c119c082bd6f') , 1251, 249
ObjectId('527806a36f94c119c082bea9') , ObjectId('527806a36f94c119c082bd7b') , 1421, 79
ObjectId('527806a36f94c119c082beb5') , ObjectId('527806a36f94c119c082bd87') , 697, 803
ObjectId('527806a36f94c119c082bec1') , ObjectId('527806a36f94c119c082bd93') , 914, 586
ObjectId('527806a36f94c119c082becd') , ObjectId('527806a36f94c119c082bd9f') , 1557, -57
ObjectId('527806a36f94c119c082bed9') , ObjectId('527806a36f94c119c082bdab') , 1843, -343
ObjectId('527806a36f94c119c082bee5') , ObjectId('527806a36f94c119c082bdb7') , 579, 921
ObjectId('527806a36f94c119c082bef1') , ObjectId('527806a36f94c119c082bdc3') , 1104, 396
ObjectId('527806a36f94c119c082befd') , ObjectId('527806a36f94c119c082bdcf') , 599, 901
ObjectId('527806a36f94c119c082bf09') , ObjectId('527806a36f94c119c082bddb') , 2142, -642
ObjectId('527806a36f94c119c082bf15') , ObjectId('527806a36f94c119c082bde7') , 1125, 375
ObjectId('527806a36f94c119c082bf21') , ObjectId('527806a36f94c119c082bdf3') , 433, 1067
ObjectId('527806a36f94c119c082bf2d') , ObjectId('527806a36f94c119c082bdff') , 1635, -135
ObjectId('527806a36f94c119c082bf39') , ObjectId('527806a36f94c119c082be0b') , 2079, -579
ObjectId('527806a36f94c119c082bf45') , ObjectId('527806a36f94c119c082be17') , 360, 1140
ObjectId('527806a36f94c119c082bf51') , ObjectId('527806a36f94c119c082be23') , 1903, -403
ObjectId('527806a36f94c119c082bf5d') , ObjectId('527806a36f94c119c082be2f') , 704, 796
ObjectId('527806a36f94c119c082bf69') , ObjectId('527806a36f94c119c082be3b') , 777, 723
ObjectId('527806a36f94c119c082bf75') , ObjectId('527806a36f94c119c082be47') , 2135, -635
ObjectId('527806a36f94c119c082bf81') , ObjectId('527806a36f94c119c082be53') , 1530, -30
ObjectId('527806a36f94c119c082bf8d') , ObjectId('527806a36f94c119c082be5f') , 774, 726
ObjectId('527806a36f94c119c082bf99') , ObjectId('527806a36f94c119c082be6b') , 458, 1042
ObjectId('527806a36f94c119c082bfa5') , ObjectId('527806a36f94c119c082bd7b') , 1040, 460
ObjectId('527806a36f94c119c082bfb1') , ObjectId('527806a36f94c119c082bdcf') , 548, 952
ObjectId('527806a36f94c119c082bfbd') , ObjectId('527806a36f94c119c082bdb7') , 800, 700
Attacker Kill Count:  5
Defender Kill Count:  8

Attack_fleet = 14
Defend_fleet = 20
Attacker, Defender, attack damage, defender's health
ObjectId('527806a36f94c119c082bd6f') , ObjectId('527806a36f94c119c082be9d') , 551, -160
ObjectId('527806a36f94c119c082bd7b') , ObjectId('527806a36f94c119c082beb5') , 1622, -1288
ObjectId('527806a36f94c119c082bd87') , ObjectId('527806a36f94c119c082becd') , 1517, -1314
ObjectId('527806a36f94c119c082bd93') , ObjectId('527806a36f94c119c082bed9') , 846, -165
ObjectId('527806a36f94c119c082bdb7') , ObjectId('527806a36f94c119c082bee5') , 766, 239
ObjectId('527806a36f94c119c082bdc3') , ObjectId('527806a36f94c119c082bef1') , 609, 159
ObjectId('527806a36f94c119c082bdcf') , ObjectId('527806a36f94c119c082befd') , 659, 467
ObjectId('527806a36f94c119c082bde7') , ObjectId('527806a36f94c119c082bf09') , 854, 302
ObjectId('527806a36f94c119c082bdf3') , ObjectId('527806a36f94c119c082bf15') , 1254, -638
ObjectId('527806a36f94c119c082be17') , ObjectId('527806a36f94c119c082bf39') , 542, 596
